chain number;generation number;chain type;learner type;number of correct answers in test 1;words not in the bottleneck;participant sex;participant age
24;8;l2;l1;16;;F;33
24;9;l2;l1;15;;M;33
24;10;l2;l1;15;;M;51
25;0;l2;;;;;
25;1;l2;l1;13;;M;24
25;2;l2;l2;15;;M;36
25;3;l2;l2;14;;M;30
25;4;l2;l2;11;;M;40
25;5;l2;l1;14;;M;27
25;6;l2;l1;11;;M;37
25;7;l2;l1;15;;M;37
25;8;l2;l1;16;;M;30
25;9;l2;l1;16;;M;28
25;10;l2;l1;16;;M;26
26;0;l2;;;;;
26;1;l2;l1;16;;M;32
26;2;l2;l2;16;;M;37
26;3;l2;l2;16;;F;23
26;4;l2;l2;15;;M;26
26;5;l2;l1;16;;F;24
26;6;l2;l1;16;;M;29
26;7;l2;l1;16;;M;16
26;8;l2;l1;16;;M;42
26;9;l2;l1;16;;M;44
26;10;l2;l1;16;;M;50
27;0;l2;;;;;
27;1;l2;l1;16;;M;20
27;2;l2;l2;14;;M;29
27;3;l2;l2;14;;M;36
27;4;l2;l2;16;;F;20
27;5;l2;l1;15;;F;31
27;6;l2;l1;16;;M;30
27;7;l2;l1;16;;F;21
27;8;l2;l1;16;;F;18
27;9;l2;l1;13;;M;24
27;10;l2;l1;14;;F;27
28;0;l2;;;;;
28;1;l2;l1;15;;F;52
28;2;l2;l2;13;;M;27
28;3;l2;l2;11;;M;23
28;4;l2;l2;14;;F;35
28;5;l2;l1;16;;M;22
28;6;l2;l1;13;;M;39
28;7;l2;l1;16;;F;23
28;8;l2;l1;16;;M;31
28;9;l2;l1;16;;F;22
28;10;l2;l1;15;;M;52
29;0;l2;;;;;
29;1;l2;l1;15;;M;33
29;2;l2;l2;14;;F;28
29;3;l2;l2;15;;M;20
29;4;l2;l2;13;;F;22
29;5;l2;l1;12;;F;44
29;6;l2;l1;13;;M;33
29;7;l2;l1;14;;M;29
29;8;l2;l1;15;;M;29
29;9;l2;l1;14;;F;25
29;10;l2;l1;14;;M;20
30;0;l2;;;;;
30;1;l2;l1;16;;M;26
30;2;l2;l2;15;;M;29
30;3;l2;l2;16;;F;22
30;4;l2;l2;11;;F;24
30;5;l2;l1;8;;M;32
30;6;l2;l1;10;;M;31
30;7;l2;l1;14;;M;21
30;8;l2;l1;13;;F;23
30;9;l2;l1;13;;M;23
30;10;l2;l1;15;;M;38
31;0;l3;;;;;
31;1;l3;l1;16;;M;34
31;2;l3;l2;16;;F;45
31;3;l3;l2;14;;M;27
31;4;l3;l2;14;;M;25
31;5;l3;l2;12;;M;37
31;6;l3;l2;14;;M;29
31;7;l3;l2;15;;M;22
31;8;l3;l2;14;;M;18
