chain;generation;mvalue;prev_value;speaker
28;1;0.050264550264550234;0.35714285714285715;28-1
28;2;0.021164021164021163;0.4074074074074074;28-2
28;3;-0.0714285714285714;0.42857142857142855;28-3
28;4;-0.0357142857142857;0.35714285714285715;28-4
28;5;0.0;0.32142857142857145;28-5
28;6;0.0;0.32142857142857145;28-6
28;7;0.011904761904761862;0.32142857142857145;28-7
28;8;0.0;0.3333333333333333;28-8
28;9;0.0;0.3333333333333333;28-9
28;10;-0.025641025641025605;0.3333333333333333;28-10
29;1;0.0357142857142857;0.35714285714285715;29-1
29;2;0.0;0.39285714285714285;29-2
29;3;-0.0714285714285714;0.39285714285714285;29-3
29;4;-0.08004926108374386;0.32142857142857145;29-4
29;5;0.05491698595146868;0.2413793103448276;29-5
29;6;0.0;0.2962962962962963;29-6
29;7;-0.010582010582010581;0.2962962962962963;29-7
29;8;0.0;0.2857142857142857;29-8
29;9;0.0;0.2857142857142857;29-9
29;10;0.010582010582010581;0.2857142857142857;29-10
30;1;0.0;0.35714285714285715;30-1
30;2;0.0;0.35714285714285715;30-2
30;3;0.0714285714285714;0.35714285714285715;30-3
30;4;-0.1071428571428571;0.42857142857142855;30-4
30;5;0.08597883597883593;0.32142857142857145;30-5
30;6;0.07407407407407407;0.4074074074074074;30-6
30;7;-0.01994301994301989;0.48148148148148145;30-7
30;8;0.0;0.46153846153846156;30-8
30;9;0.018461538461538418;0.46153846153846156;30-9
30;10;-0.0633333333333333;0.48;30-10
